# i     Zeit    dt     v_i
0  0  0.130695364884003  17.2782549
1  0.130695364884003  0.107481135157868  18.308233521571
2  0.238176500041871  0.106285071300898  19.1332343719992
3  0.344461571342768  0.105338756619267  19.9290145818766
4  0.449800327962035  0.104603660223956  20.6977387336183
5  0.554403988185991  0.104055700592479  21.4411897417716
6  0.65845968877847  0.103675920027306  22.1608945504962
7  0.762135608805777  0.103449295702108  22.8581737519564
8  0.865584904507884  0.103363882347557  23.5341793622147
9  0.968948786855441  0.103410187256472  24.1899240325783
10  1.07235897411191  0.103580707786513  24.8263039765921
11  1.17593968189843  0.103869584999638  25.4441172041017
12  1.27980926689806  0.104272341977277  26.0440781956476
13  1.38408160887534  0.104785685058707  26.6268298387483
14  1.48886729393405  0.105407352721433  27.1929532312935
15  1.59427464665548  0.106136001227441  27.7429758044112
16  1.70041064788292  0.106971119217513  28.2773781074019
17  1.80738176710044  0.107912965600081  28.7965995173386
18  1.91529473270052  0.108962526645914  29.3010430768439
19  2.02425725934643  0.110121489352364  29.7910796193755
20  2.13437874869879  0.111392229014164  30.2670513079365
21  2.24577097771296  0.112777809615832  30.7292746875993
22  2.35854878732879  0.114281996208094  31.1780433325274
23  2.47283078353689  0.115909278890935  31.6136301528452
24  2.58874006242782  0.11766490843178  32.0362894146741
25  2.7064049708596  0.119554943926951  32.4462585171286
26  2.82595991478655  0.121586313288157  32.8437595624908
27  2.94754622807471  0.123766887725621  33.2290007497049
28  3.07131311580033  0.126105571822632  33.6021776164385
29  3.19741868762296  0.128612411277456  33.9634741509909
30  3.32603109890042  0.131298720946781  34.3130637921048
31  3.4573298198472  0.134177236493305  34.651110332107
32  3.5915070563405  0.13726229375187  34.9777687366523
33  3.72876935009237  0.140570040923968  35.2931858925937
34  3.86933939101634  0.144118689957994  35.5975012940664
35  4.01345808097433  0.147928815030803  35.8908476757223
36  4.16138689600514  0.152023708032511  36.1733516011257
37  4.31341060403765  0.156429803488346  36.4451340136056
38  4.469840407526  0.161177188615279  36.7063107563249
39  4.63101759614127  0.166300218456697  36.956993067964
40  4.79731781459797  0.171838261582129  37.1972880602247
41  4.9691560761801  0.177836609174788  37.4272991833244
42  5.14699268535489  0.184347590080601  37.6471266858163
43  5.33134027543549  0.191431947506519  37.8568680754141
44  5.52277222294201  0.199160550843211  38.056618588098
45  5.72193277378522  0.207616540464974  38.2464716736465
46  5.92954931425019  0.216898037142756  38.4265195069648
47  6.14644735139295  0.227121595062011  38.5968535362564
48  6.37356894645496  0.238426644646284  38.7575650813461
49  6.61199559110124  0.250981268062946  38.9087459985019
50  6.86297685916419  0.264989791344564  39.0504894321894
51  7.12796665050875  0.280702886070489  39.1828906797089
52  7.40866953657924  0.29843118846774  39.3060482021577
53  7.70710072504698  0.31856392688568  39.4200648254185
54  8.02566465193266  0.341594804344329  39.525049189064
55  8.36725945627699  0.368158590498044  39.6211175208776
56  8.73541804677503  0.399083852307487  39.7083958426876
57  9.13450189908252  0.435470564856406  39.7870227531884
58  9.56997246393893  0.478807053021336  39.8571529911569
59  10.0487795169603  0.531150853308221  39.9189620666037
60  10.5799303702685  0.595416675880571  39.972652370727
61  11.1753470461491  0.675849911093256  40.0184613560447
62  11.8511969572423  0.778833359157317  40.0566726378023
63  12.6300303163996  0.914315130507937  40.087631221598
64  13.5443454469076  1.09843531888729  40.1117644695272
65  14.6427807657949  1.35851416868013  40.1296106010201
66  16.001294934475  1.74254665920513  40.1418553249396
67  17.7438415936801  2.3352486509711  40.149370311946
68  20.0790902446512  3.26623789487009  40.1532198017808
69  23.3453281395213  4.57371789912617  40.1545116009443
70  27.9190460386475  5.55659213493765  40.1538001893907
71  33.4756381735851  4.94593318310001  40.1504764953879
72  38.4215713566851  3.52353464472072  40.1470800475491
73  41.9451060014059  2.87398450706562  40.1495120678526
74  44.8190905084715  3.29606828447985  40.1527387963342
75  48.1151587929513  4.3216041868997  40.1541462941131
76  52.436762979851  5.21657436085767  40.1537840155765
77  57.6533373407087  4.93431424155345  40.1513775597283
78  62.5876515822621  3.78526992398678  40.1484815709359
79  66.3729215062489  3.09570672224788  40.1496992855714
80  69.4686282284968  3.33679020286862  40.1524740336533
81  72.8054184313654  4.19947417984266  40.1539059552935
82  77.0048926112081  5.02418171731324  40.1537296342236
83  82.0290743285213  4.89579294408062  40.1517786278223
84  86.924867272602  3.92215768114083  40.1492249545656
85  90.8470249537428  3.23631021082179  40.1498667159695
86  94.0833351645646  3.37452221295158  40.1523033014459
87  97.4578573775162  4.12599948708788  40.1537286532438
88  101.583856864604  4.8951529067704  40.1536726872734
89  106.479009771374  4.85640277741463  40.1520086533246
90  111.335412548789  4.00769754545581  40.149701635384
91  115.343110094245  3.33724152589406  40.1500104487272
92  118.680351620139  3.4079580715825  40.1521838848951
93  122.088309691721  4.07684164042525  40.1535897203343
94  126.165151332147  4.80071357185577  40.1536191888541
95  130.965864904003  4.82025007724547  40.1521578301313
96  135.786114981248  4.06625971044518  40.1500388845671
97  139.852374691693  3.41463867859275  40.1501338969534
98  143.267013370286  3.43748406798001  40.1520959941542
99  146.704497438266  4.04176308853706  40.1534765952199
100  150.746260526803  4.72772709024311  40.153570157091
101  155.473987617046  4.78781478773262  40.1522619915716
102  160.261802404779  4.10870674949084  40.1502925743232
103  164.37050915427  3.47654519160763  40.1502408675561
104  167.847054345877  3.46370012781444  40.1520289828965
105  171.310754473692  4.01561770069899  40.1533819700184
106  175.326372174391  4.66916804592671  40.1535254357699
107  179.995540220317  4.75879462229206  40.1523384146414
108  184.754334842609  4.14070973376726  40.1504916358749
109  188.895044576377  3.52755171924621  40.1503345124332
110  192.422596295623  3.48715011234776  40.1519765483172
111  195.909746407971  3.99550953225909  40.1533012121315
112  199.90525594023  4.62087533358703  40.1534845894481
113  204.526131273817  4.7327448228903  40.1523965136734
114  209.258876096707  4.16554620186872  40.1506527434116
115  213.424422298576  3.5705189847945  40.1504172942853
116  216.99494128337  3.50828175683461  40.1519346981287
117  220.503223040205  3.9796751789556  40.1532312012515
118  224.48289821916  4.58020005309076  40.1534471522336
119  229.063098272251  4.70924104602495  40.1524418752813
120  233.772339318276  4.18525153106506  40.1507862642825
121  237.957590849341  3.60734446629122  40.1504911204349
122  241.564935315632  3.52745525978009  40.1519007720777
123  245.092390575413  3.96697608624466  40.1531697379733
124  249.059366661657  4.54536249552258  40.1534126984701
125  253.60472915718  4.6879168689492  40.1524780308821
126  258.292646026129  4.20115971576004  40.1508990216058
127  262.493805741889  3.63934718893345  40.1505574768237
128  266.133152930822  3.54495997089451  40.1518729258628
129  269.678112901717  3.95664300229558  40.1531152160279
130  273.634755904013  4.51511563549516  40.1533808584792
131  278.149871539508  4.6684657597903  40.1525073244932
132  282.818337299298  4.21418267109508  40.1509957094935
133  287.032519970393  3.66747836541094  40.1506175335404
134  290.699998335804  3.5610297433005  40.1518498393812
135  294.261028079105  3.94813698414479  40.1530664283558
136  298.209165063249  4.48855573775181  40.1533513168835
